step,train_loss,train_accuracy,train_specificity,train_sensitivity,train_precision,train_recall,train_f1_score,val_loss,val_accuracy,val_specificity,val_sensitivity,val_precision,val_recall,val_f1_score
0,0.6746327877044678,0.59,0.5,0.6285714285714286,0.7457627118644068,0.6285714285714286,0.6821705426356589,0.6571763516130721,0.6226259289843105,0.38372093023255816,0.7174163783160323,0.7458033573141487,0.7174163783160323,0.7313345091122868
100,0.45321452617645264,0.79,0.2857142857142857,0.9861111111111112,0.7802197802197802,0.9861111111111112,0.8711656441717792,0.4834069407019767,0.7745664739884393,0.26744186046511625,0.9757785467128027,0.7704918032786885,0.9757785467128027,0.8610687022900761
200,0.3788257837295532,0.85,0.4,0.9625,0.8651685393258427,0.9625,0.911242603550296,0.4074151471855533,0.8166804293971924,0.5261627906976745,0.9319492502883506,0.8321318228630278,0.9319492502883506,0.8792165397170838
300,0.3799426257610321,0.81,0.59375,0.9117647058823529,0.8266666666666667,0.9117647058823529,0.8671328671328671,0.3786784887158494,0.8265895953757225,0.5784883720930233,0.9250288350634371,0.8468848996832101,0.9250288350634371,0.884233737596472
400,0.32078129053115845,0.87,0.7037037037037037,0.9315068493150684,0.8947368421052632,0.9315068493150684,0.912751677852349,0.36861009119769894,0.8274153592072667,0.627906976744186,0.9065743944636678,0.8599562363238512,0.9065743944636678,0.8826501965188096
500,0.28651854395866394,0.87,0.7,0.9428571428571428,0.88,0.9428571428571428,0.9103448275862068,0.3608315461325789,0.8265895953757225,0.627906976744186,0.9054209919261822,0.859802847754655,0.9054209919261822,0.8820224719101124
600,0.36025646328926086,0.85,0.75,0.881578947368421,0.9178082191780822,0.881578947368421,0.8993288590604027,0.35832643839536416,0.8323699421965318,0.6482558139534884,0.9054209919261822,0.8664459161147903,0.9054209919261822,0.8855047941342358
700,0.33662766218185425,0.85,0.6896551724137931,0.9154929577464789,0.8783783783783784,0.9154929577464789,0.896551724137931,0.3543683673922491,0.838150289017341,0.6569767441860465,0.9100346020761245,0.8699007717750827,0.9100346020761245,0.8895152198421645
800,0.28266146779060364,0.87,0.6153846153846154,0.9594594594594594,0.8765432098765432,0.9594594594594594,0.9161290322580644,0.3523719149124889,0.8315441783649876,0.6540697674418605,0.9019607843137255,0.8679245283018868,0.9019607843137255,0.8846153846153846
900,0.30146369338035583,0.87,0.7391304347826086,0.9090909090909091,0.9210526315789473,0.9090909090909091,0.915032679738562,0.353562451632572,0.833195706028076,0.6511627906976745,0.9054209919261822,0.8674033149171271,0.9054209919261822,0.8860045146726861
1000,0.3093963861465454,0.84,0.7407407407407407,0.8767123287671232,0.9014084507042254,0.8767123287671232,0.8888888888888888,0.34880754790477214,0.8364987613542527,0.6802325581395349,0.8985005767012687,0.876265466816648,0.8985005767012687,0.887243735763098
1100,0.30727359652519226,0.87,0.6666666666666666,0.9342105263157895,0.8987341772151899,0.9342105263157895,0.9161290322580645,0.34503245648118913,0.8348472336911643,0.6511627906976745,0.9077277970011534,0.8676957001102535,0.9077277970011534,0.887260428410372
1200,0.3197256326675415,0.85,0.7142857142857143,0.8860759493670886,0.9210526315789473,0.8860759493670886,0.9032258064516129,0.3471320656306528,0.8348472336911643,0.6773255813953488,0.8973471741637832,0.875140607424072,0.8973471741637832,0.8861047835990888
1300,0.23935392498970032,0.87,0.7368421052631579,0.9012345679012346,0.9358974358974359,0.9012345679012346,0.9182389937106918,0.34257812455761966,0.8406275805119736,0.6627906976744186,0.9111880046136102,0.8719646799116998,0.9111880046136102,0.8911449520586576
1400,0.26248639822006226,0.9,0.8181818181818182,0.9402985074626866,0.9130434782608695,0.9402985074626866,0.9264705882352942,0.34606894406019006,0.8406275805119736,0.6773255813953488,0.9054209919261822,0.8761160714285714,0.9054209919261822,0.8905275099262621
1500,0.21300624310970306,0.91,0.6818181818181818,0.9743589743589743,0.9156626506024096,0.9743589743589743,0.9440993788819876,0.3436376297435665,0.8406275805119736,0.6831395348837209,0.903114186851211,0.8778026905829597,0.903114186851211,0.8902785673678226
1600,0.31411877274513245,0.88,0.78125,0.9264705882352942,0.9,0.9264705882352942,0.9130434782608695,0.3395206466338013,0.8422791081750619,0.6947674418604651,0.9008073817762399,0.881489841986456,0.9008073817762399,0.8910439247005134
1700,0.3248613774776459,0.82,0.5238095238095238,0.8987341772151899,0.8765432098765432,0.8987341772151899,0.8875,0.3419900813158362,0.8364987613542527,0.6773255813953488,0.8996539792387543,0.8754208754208754,0.8996539792387543,0.8873720136518771
1800,0.18765951693058014,0.95,0.8823529411764706,0.9848484848484849,0.9420289855072463,0.9848484848484849,0.962962962962963,0.3386497961285834,0.8348472336911643,0.6569767441860465,0.9054209919261822,0.8693244739756367,0.9054209919261822,0.887005649717514
1900,0.2482786625623703,0.88,0.7777777777777778,0.9178082191780822,0.9178082191780822,0.9178082191780822,0.9178082191780822,0.34025129711757957,0.8373245251857968,0.6627906976744186,0.9065743944636678,0.8713968957871396,0.9065743944636678,0.8886376483889203
2000,0.28271621465682983,0.86,0.6538461538461539,0.9324324324324325,0.8846153846153846,0.9324324324324325,0.9078947368421053,0.34013338455288344,0.8356729975227085,0.6627906976744186,0.9042675893886967,0.8711111111111111,0.9042675893886967,0.88737973967176
2100,0.3093493580818176,0.85,0.7419354838709677,0.8985507246376812,0.8857142857142857,0.8985507246376812,0.8920863309352518,0.3442925953750035,0.8323699421965318,0.6744186046511628,0.895040369088812,0.8738738738738738,0.895040369088812,0.8843304843304843
2200,0.20372158288955688,0.91,0.7307692307692307,0.972972972972973,0.9113924050632911,0.972972972972973,0.9411764705882353,0.3411403048534389,0.8422791081750619,0.6744186046511628,0.908881199538639,0.8755555555555555,0.908881199538639,0.8919071873231466
2300,0.2809971868991852,0.86,0.6956521739130435,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.3394253782475744,0.8389760528488852,0.6598837209302325,0.9100346020761245,0.8708609271523179,0.9100346020761245,0.8900169204737732
2400,0.24150720238685608,0.88,0.6923076923076923,0.9459459459459459,0.8974358974358975,0.9459459459459459,0.9210526315789475,0.33902445967490374,0.8422791081750619,0.688953488372093,0.903114186851211,0.8797752808988764,0.903114186851211,0.8912919749573135
