step,train_loss,train_accuracy,train_specificity,train_sensitivity,train_precision,train_recall,train_f1_score,val_loss,val_accuracy,val_specificity,val_sensitivity,val_precision,val_recall,val_f1_score
0,0.3211459219455719,0.74,0.0,1.0,0.74,1.0,0.8505747126436781,0.3262860432328858,0.7159372419488026,0.0,1.0,0.7159372419488026,1.0,0.834456207892204
100,0.17864297330379486,0.84,0.75,0.868421052631579,0.9166666666666666,0.868421052631579,0.8918918918918918,0.19112540658913293,0.8166804293971924,0.627906976744186,0.8915801614763552,0.8579356270810211,0.8915801614763552,0.8744343891402714
200,0.15974445641040802,0.78,0.2,0.925,0.8222222222222222,0.925,0.8705882352941177,0.18588768599951724,0.82411230388109,0.5901162790697675,0.916955017301038,0.8493589743589743,0.916955017301038,0.8818635607321131
300,0.1294689029455185,0.9,0.75,0.9705882352941176,0.8918918918918919,0.9705882352941176,0.9295774647887325,0.18239800931817823,0.8290668868703551,0.6744186046511628,0.8904267589388697,0.8733031674208145,0.8904267589388697,0.881781838949172
400,0.158284530043602,0.86,0.6428571428571429,0.9444444444444444,0.8717948717948718,0.9444444444444444,0.9066666666666667,0.17309337673953043,0.838150289017341,0.6627906976744186,0.9077277970011534,0.8715393133997785,0.9077277970011534,0.8892655367231638
500,0.14816604554653168,0.88,0.7333333333333333,0.9428571428571428,0.8918918918918919,0.9428571428571428,0.9166666666666667,0.1754812584751921,0.856317093311313,0.7325581395348837,0.9054209919261822,0.895096921322691,0.9054209919261822,0.9002293577981653
600,0.11698953807353973,0.88,0.6666666666666666,0.9714285714285714,0.8717948717948718,0.9714285714285714,0.9189189189189189,0.17633227468433096,0.8571428571428571,0.6744186046511628,0.9296424452133795,0.8779956427015251,0.9296424452133795,0.9030812324929972
700,0.1527034193277359,0.86,0.7142857142857143,0.9166666666666666,0.8918918918918919,0.9166666666666666,0.9041095890410958,0.17773106886080367,0.8554913294797688,0.686046511627907,0.922722029988466,0.8810572687224669,0.922722029988466,0.9014084507042254
800,0.12816615402698517,0.86,0.8571428571428571,0.8611111111111112,0.9393939393939394,0.8611111111111112,0.8985507246376813,0.20095422194934603,0.8439306358381503,0.6482558139534884,0.9215686274509803,0.8684782608695653,0.9215686274509803,0.8942361499720202
900,0.09396237134933472,0.92,0.6666666666666666,0.975609756097561,0.9302325581395349,0.975609756097561,0.9523809523809524,0.18437429712299347,0.8530140379851362,0.6482558139534884,0.9342560553633218,0.8700322234156821,0.9342560553633218,0.9010011123470523
1000,0.09992421418428421,0.94,0.9090909090909091,0.9487179487179487,0.9736842105263158,0.9487179487179487,0.9610389610389611,0.20186370670982723,0.8505367464905037,0.7325581395348837,0.8973471741637832,0.8942528735632184,0.8973471741637832,0.895797351755901
1100,0.039672497659921646,0.96,0.8333333333333334,1.0,0.95,1.0,0.9743589743589743,0.19346288652178592,0.8538398018166804,0.7005813953488372,0.9146482122260668,0.8850446428571429,0.9146482122260668,0.8996029495178672
1200,0.042522281408309937,0.96,0.875,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.22141369419798554,0.856317093311313,0.7325581395348837,0.9054209919261822,0.895096921322691,0.9054209919261822,0.9002293577981653
1300,0.05264607071876526,0.96,0.8,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.2072944255104177,0.8587943848059455,0.6831395348837209,0.9284890426758939,0.8807439824945296,0.9284890426758939,0.9039865244244808
1400,0.05838660150766373,1.0,1.0,1.0,1.0,1.0,1.0,0.20567845365501497,0.8620974401321222,0.7122093023255814,0.9215686274509803,0.8897550111358574,0.9215686274509803,0.9053824362606232
1500,0.05024292320013046,0.96,0.8181818181818182,1.0,0.9512195121951219,1.0,0.975,0.2391891982198497,0.8579686209744013,0.6831395348837209,0.9273356401384083,0.8806133625410734,0.9273356401384083,0.9033707865168539
1600,0.0475185364484787,0.96,0.9166666666666666,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.23736113338703796,0.856317093311313,0.7005813953488372,0.9181084198385236,0.8854282536151279,0.9181084198385236,0.9014722536806342
1700,0.05595963075757027,0.94,0.9375,0.9411764705882353,0.9696969696969697,0.9411764705882353,0.955223880597015,0.23195253194239074,0.8620974401321222,0.7296511627906976,0.9146482122260668,0.8950338600451467,0.9146482122260668,0.9047347404449516
1800,0.09579416364431381,0.9,0.7142857142857143,0.9722222222222222,0.8974358974358975,0.9722222222222222,0.9333333333333333,0.24596946584223975,0.861271676300578,0.7296511627906976,0.9134948096885813,0.8949152542372881,0.9134948096885813,0.904109589041096
1900,0.0601576529443264,0.94,0.9166666666666666,0.9473684210526315,0.972972972972973,0.9473684210526315,0.9599999999999999,0.26542999044050936,0.8571428571428571,0.6802325581395349,0.9273356401384083,0.8796498905908097,0.9273356401384083,0.9028635597978664
2000,0.012917163781821728,1.0,1.0,1.0,1.0,1.0,1.0,0.26641348035647267,0.8629232039636664,0.7122093023255814,0.922722029988466,0.8898776418242491,0.922722029988466,0.9060022650056625
2100,0.061869651079177856,0.92,0.7857142857142857,0.9722222222222222,0.9210526315789473,0.9722222222222222,0.9459459459459458,0.2774035631899781,0.8620974401321222,0.7122093023255814,0.9215686274509803,0.8897550111358574,0.9215686274509803,0.9053824362606232
2200,0.11205604672431946,0.88,0.6470588235294118,1.0,0.8461538461538461,1.0,0.9166666666666666,0.25736485881006055,0.870355078447564,0.7325581395348837,0.9250288350634371,0.8970917225950783,0.9250288350634371,0.9108461101646792
2300,0.04537035897374153,0.98,0.9375,1.0,0.9714285714285714,1.0,0.9855072463768115,0.26381401092484263,0.861271676300578,0.6802325581395349,0.9331026528258363,0.8803046789989118,0.9331026528258363,0.9059350503919373
2400,0.04655689373612404,0.96,0.8823529411764706,1.0,0.9428571428571428,1.0,0.9705882352941176,0.2962103880771816,0.8571428571428571,0.7034883720930233,0.9181084198385236,0.8864142538975501,0.9181084198385236,0.9019830028328613
2500,0.06721541285514832,0.94,0.8888888888888888,0.96875,0.9393939393939394,0.96875,0.9538461538461539,0.271663975396613,0.8629232039636664,0.7412790697674418,0.9111880046136102,0.8987485779294653,0.9111880046136102,0.9049255441008017
2600,0.03780156001448631,0.98,0.9285714285714286,1.0,0.972972972972973,1.0,0.9863013698630138,0.3014309139736909,0.8629232039636664,0.7209302325581395,0.9192618223760092,0.8924972004479284,0.9192618223760092,0.9056818181818181
2700,0.03208143264055252,0.96,0.75,1.0,0.9545454545454546,1.0,0.9767441860465117,0.2904028298102166,0.8604459124690339,0.6947674418604651,0.9261822376009228,0.8843612334801763,0.9261822376009228,0.9047887323943662
2800,0.02075234241783619,0.98,1.0,0.9767441860465116,1.0,0.9767441860465116,0.988235294117647,0.30062260440745975,0.8637489677952106,0.7383720930232558,0.9134948096885813,0.8979591836734694,0.9134948096885813,0.9056603773584906
